province;males.2018;males.2013;males.2008;males.2003;males.1998;females.2018;females.2013;females.2008;females.2003;females.1998
Albacete;194158;200016;199820;188139;178058;194628;199991;197673;188417;180539
Alicante/Alacant;911097;968927;947523;811672;682380;927722;976715;943954;820677;706553
Almería;361319;355658;343716;287292;252177;348021;343671;323919;278018;253271
Araba/Álava;162175;159622;154376;146651;141350;166693;161795;155259;147709;143245
Asturias;490738;511346;518291;515945;519530;537506;556819;561847;559436;562304
Ávila;79538;85025;86836;83036;84013;78960;83800;84979;82444;83119
Badajoz;334636;344296;340243;327802;328160;341740;349433;345003;335340;335643
Balears, Illes;561803;554603;540395;474248;392835;567105;557071;532449;473113;403648
Barcelona;2733466;2711403;2668359;2479347;2261746;2875884;2829522;2748088;2573319;2404525
Bizkaia;554879;559573;556095;551266;553761;594749;596874;590326;582162;583833
Burgos;178337;186638;189675;178140;173195;178733;184610;183997;177065;173160
Cáceres;196619;203758;205949;206089;202834;199868;206517;206549;204673;202782
Cádiz;611357;612770;608616;573992;549120;627357;625722;611851;581732;558364
Cantabria;281564;288643;285469;268309;256766;298665;303245;296669;281381;270371
Castellón/Castelló;286359;300992;299829;259437;228231;290539;300707;295086;258802;233481
Ciudad Real;246656;260888;260649;240603;234972;252444;264074;261694;247067;244502
Córdoba;385085;394189;392658;379989;375244;400155;408233;406164;395955;391931
Coruna, A;536637;547079;548037;538469;531769;582714;591082;591084;582345;574556
Cuenca;98999;107111;109058;102040;99031;98223;104788;106216;100942;100055
Gipuzkoa;351696;349551;344679;336409;331804;368896;364267;356377;348007;344635
Girona;380690;382685;372266;311514;269400;381257;378947;359598;308178;273791
Granada;449318;453670;447280;407293;391867;462757;465649;453940;420814;409310
Guadalajara;128854;131796;122327;94421;80464;125454;125927;115460;91053;78867
Huelva;257713;258387;252394;234902;224433;262219;262281;255521;237544;229525
Huesca;110599;114781;114939;106962;102854;108746;111548;110332;104324;102102
Jaén;315549;330505;332568;323089;319272;322550;334411;334870;328476;326520
León;225646;239179;244786;242106;247569;238100;250573;255414;253892;258796
Lleida;219509;223779;218379;189998;178152;213357;217136;208493;187641;179751
Lugo;160647;168013;172914;174906;179056;170680;177992;182635;185606;188695
Madrid;3147872;3123724;3040658;2760877;2444919;3430207;3371827;3230980;2958065;2646417
Málaga;804858;813878;773012;675800;605927;836263;839121;790249;699090;634653
Murcia;740143;739842;722999;639795;551343;738366;732207;703110;629435;563725
Navarra;320469;320933;310282;288991;262687;327085;323544;310095;289219;268132
Ourense;148426;157425;161848;164171;165209;160867;169299;174251;178042;178961
Palencia;80323;83696;85852;86439;88892;81712;85259;87602;88608;90731
Palmas, Las;552555;553010;540105;495243;425260;556620;550840;529927;484363;424603
Pontevedra;454899;462605;461469;446839;434381;486873;492445;491931;480716;471917
Rioja, La;155758;160159;160342;143995;130708;159917;161868;157159;143395;132936
Salamanca;161065;168950;172878;169851;170152;170408;176598;180526;178420;179398
Santa Cruz de Tenerife;501477;502292;500032;454916;382832;517033;512537;505904;460346;397320
Segovia;76979;81598;83252;75656;73410;76363;80104;80647;75045;73345
Sevilla;948699;951597;921256;875013;840910;991188;990558;954206;907849;873935
Soria;44800;47336;47881;45651;45690;43800;45955;46765;45303;45903
Tarragona;396661;407451;402024;328991;288339;399241;402727;386871;325158;291906
Teruel;68060;72529;75777;70641;68995;66512;69654;70547;68045;67845
Toledo;345532;357149;341277;282453;258829;341859;349258;328926;280646;260835
Valencia/Valencia;1248927;1264620;1261081;1141901;1060156;1299059;1301854;1282128;1178396;1112640
Valladolid;253356;260619;260075;248614;241382;266495;271665;268944;257688;250647
Zamora;86319;93336;98103;98684;101213;88230;94934;99118;101004;103988
Zaragoza;466839;482677;473687;432607;410517;487972;495961;481636;447511;430921
Ceuta;43177;43060;39385;38395;36102;41967;41120;38004;36536;36015
Melilla;43765;43017;36336;34737;30569;42619;40662;35112;33726;29539

