id	pop	sex	skull.L	skull.B
416	egant	m	188	145
417	egant	m	172	139
420	egant	m	176	138
421	egant	m	184	128
422	egant	m	183	139
423	egant	m	177	143
424	egant	m	179	139
425	egant	m	183	142
426	egant	m	186	138
427	egant	m	171	136
428	egant	m	180	138
429	egant	m	186	142
430	egant	m	186	135
431	egant	m	175	129
433	egant	m	194	134
434	egant	m	188	143
435	egant	m	181	138
436	egant	m	184	144
437	egant	m	183	142
438	egant	m	180	133
439	egant	m	180	132
440	egant	m	185	142
441	egant	m	190	140
442	egant	m	191	144
443	egant	m	194	142
444	egant	m	184	142
445	egant	m	176	144
446	egant	m	189	138
447	egant	m	182	146
448	egant	m	171	133
449	egant	m	186	141
450	egant	m	181	140
451	egant	m	173	134
452	egant	m	193	142
453	egant	m	184	146
454	egant	m	183	141
455	egant	m	186	139
477	egant	m	NA	NA
478	egant	m	188	144
479	egant	m	171	129
480	egant	m	173	140
481	egant	m	181	128
482	egant	m	181	134
483	egant	m	179	143
489	egant	m	189	142
490	egant	m	193	145
491	egant	m	178	142
492	egant	m	190	140
493	egant	m	188	139
494	egant	m	193	142
495	egant	m	177	133
496	egant	m	189	137
497	egant	m	185	135
498	egant	m	185	133
499	egant	m	182	133
500	egant	m	180	133
501	egant	m	175	138
502	egant	m	199	141
503	egant	m	179	137
504	egant	m	188	133
505	egant	m	176	139
506	egant	m	182	141
507	egant	m	190	141
508	egant	m	182	127
509	egant	m	177	134
510	egant	m	178	135
511	egant	m	179	137
512	egant	m	178	136
513	egant	m	178	133
514	egant	m	186	146
515	egant	m	184	136
516	egant	m	191	136
517	egant	m	184	136
518	egant	m	173	134
519	egant	m	179	136
520	egant	m	179	133
521	egant	m	176	132
522	egant	m	175	130
523	egant	m	183	138
524	egant	m	189	132
525	egant	m	179	132
526	egant	m	176	138
527	egant	m	180	128
528	egant	m	187	132
529	egant	m	188	138
530	egant	m	176	133
531	egant	m	192	136
532	egant	m	193	134
533	egant	m	173	139
534	egant	m	178	140
535	egant	m	178	146
536	egant	m	176	142
537	egant	m	170	133
538	egant	m	171	140
539	egant	m	180	140
540	egant	m	169	134
541	egant	m	184	138
542	egant	m	177	139
543	egant	m	188	131
544	egant	m	184	139
545	egant	m	187	129
546	egant	m	172	129
547	egant	m	191	138
548	egant	m	184	141
549	egant	m	191	140
550	egant	m	180	136
551	egant	m	189	136
552	egant	m	184	135
553	egant	m	174	134
554	egant	m	183	NA
555	egant	m	179	144
556	egant	m	180	141
557	egant	m	187	136
558	egant	m	197	143
559	egant	m	176	132
560	egant	m	188	145
561	egant	m	180	146
562	egant	m	190	141
563	egant	m	184	139
564	egant	m	190	134
565	egant	m	193	140
566	egant	m	176	132
567	egant	m	185	139
568	egant	m	189	142
569	egant	m	182	130
570	egant	m	185	137
571	egant	m	181	136
572	egant	m	194	135
573	egant	m	177	136
574	egant	m	183	141
575	egant	m	187	138
576	egant	m	184	139
577	egant	m	191	139
578	egant	m	185	137
579	egant	m	181	138
580	egant	m	179	136
581	egant	m	188	146
582	egant	m	173	137
583	egant	m	188	140
584	egant	m	183	138
585	egant	m	193	141
586	egant	m	188	134
587	egant	m	189	139
588	egant	m	173	138
589	egant	m	181	131
590	egant	m	186	135
591	egant	m	184	139
592	egant	m	183	134
593	egant	m	183	135
594	egant	m	175	135
595	egant	m	190	140
596	egant	m	187	135
597	egant	m	184	139
598	egant	m	191	139
599	egant	m	182	133
600	egant	m	182	131
601	egant	m	180	137
602	egant	m	183	140
603	egant	m	172	135
604	egant	m	176	127
605	egant	m	189	136
606	egant	m	179	135
607	egant	m	174	133
608	egant	m	179	134
609	egant	m	180	140
610	egant	m	187	135
611	egant	m	171	131
612	egant	m	175	137
613	egant	m	175	144
614	egant	m	184	133
615	egant	m	180	132
616	egant	m	178	132
617	egant	m	187	139
618	egant	m	185	130
619	egant	m	188	137
620	egant	m	183	124
621	egant	m	179	133
622	egant	m	179	143
623	egant	m	177	131
624	egant	m	183	138
625	egant	m	172	141
626	egant	m	182	136
627	egant	m	191	130
628	egant	m	175	133
629	egant	m	181	138
630	egant	m	173	135
631	egant	m	177	138
632	egant	m	177	131
633	egant	m	184	139
634	egant	m	183	128
635	egant	m	185	135
636	egant	m	191	141
637	egant	m	186	133
638	egant	m	182	136
639	egant	m	180	128
640	egant	m	168	139
641	egant	m	174	130
642	egant	m	171	133
643	egant	m	175	136
644	egant	m	190	141
645	egant	m	183	132
646	egant	m	182	139
